ISBN,Cover-url,Product-URL
9786168110270,https://storage.naiin.com/system/application/bookstore/resource/product/202012/518515/1000238580_front_XXL.jpg?imgname=คดีฆาตกรรมเรือนระเบียงวน,https://www.naiin.com/product/detail/518515
9786168293034,https://storage.naiin.com/system/application/bookstore/resource/product/202011/517307/1000237936_front_XXL.jpg?imgname=รหัสลับพันธุกรรมฆาตกร-PLATINA-DATA,https://www.naiin.com/product/detail/517307
9786168293010,https://storage.naiin.com/system/application/bookstore/resource/product/202009/512070/1000235705_front_XXL.jpg?imgname=ผู้พิทักษ์ต้นการบูร,https://www.naiin.com/product/detail/512070
9786161403300,https://storage.naiin.com/system/application/bookstore/resource/product/202010/512568/1000235917_front_XXL.jpg?imgname=กฎยอดนักสืบ,https://www.naiin.com/product/detail/512568
9786162874086,https://storage.naiin.com/system/application/bookstore/resource/product/202007/509040/1000234131_front_XXL.jpg?imgname=ลาปลาซ-ทฤษฎีฆ่าเหนือธรรมชาติ,https://www.naiin.com/product/detail/509040
9786164480278,https://storage.naiin.com/system/application/bookstore/resource/product/201911/494233/1000227268_front_XXL.jpg?imgname=บ้านดับจิต,https://www.naiin.com/product/detail/494233
9786164480162,https://storage.naiin.com/system/application/bookstore/resource/product/201905/478288/1000218836_front_XXL.jpg?imgname=สมการกลางฤดูร้อน,https://www.naiin.com/product/detail/478288
9786162872600,https://storage.naiin.com/system/application/bookstore/resource/product/201804/233134/1000206488_front_XXL.jpg?imgname=ปาฏิหาริย์ร้านชำของคุณนามิยะ-โดย-ฮิงาชิโนะ-เคโงะ,https://www.naiin.com/product/detail/233134
9786161402921,https://storage.naiin.com/system/application/bookstore/resource/product/201803/231466/1000205596_front_XXL.jpg?imgname=พิษรักสั่งตาย,https://www.naiin.com/product/detail/231466
9786161406790,https://storage.naiin.com/system/application/bookstore/resource/product/202507/663528/6000113597_front_XXL.jpg?imgname=ฝนหนาวที่คอสตาริกา,https://www.naiin.com/product/detail/663528
9786161406462,https://storage.naiin.com/system/application/bookstore/resource/product/202504/643945/6000109546_front_XXL.jpg?imgname=ปริศนา-นักสืบ-ความลับ,https://www.naiin.com/product/detail/643945
9000128072,https://storage.naiin.com/system/application/bookstore/resource/product/202501/634588/6000104588_front_XXL.jpg?imgname=คุณฆ่าคนตาย,https://www.naiin.com/product/detail/634588
9786161872571,https://storage.naiin.com/system/application/bookstore/resource/product/202411/629727/6000101298_front_XXL.jpg?imgname=มนุษย์ตุ๊กตา-(ฉบับเปลี่ยนปก),https://www.naiin.com/product/detail/629727
9786161862732,https://storage.naiin.com/system/application/bookstore/resource/product/202312/599171/6000084533_front_XXL.jpg?imgname=มนุษย์ตุ๊กตา,https://www.naiin.com/product/detail/599171
9786161405755,https://storage.naiin.com/system/application/bookstore/resource/product/202404/609934/6000090791_front_XXL.jpg?imgname=กลลวงซ่อนตาย-(ฉบับแปลใหม่),https://www.naiin.com/product/detail/609934
9786161403546,https://storage.naiin.com/system/application/bookstore/resource/product/202309/591236/6000080338_front_XXL.jpg?imgname=ประตูฆาตกร,https://www.naiin.com/product/detail/591236
